keyword,citations,publications
Data sharing,1928,336
Misinformation,1088,136
Digital economy,659,75
Data infrastructure,283,44
Value of data,344,41
Automated decision making,118,19
Data ethics,325,16
Data literacy,261,12
Data rights,13,4
Digital trade,1,2
