funder,works count
"National Science, Technology and Innovation Plan",1
Science and Technology Unit at Umm Al-Qura University for their continued logistics support,1
Military University of Technology,1
Dutch Science Foundation in the Commit2Data Program through the Enabling Personalised Intervention Project,1
"Fundamental theory and cutting edge technology Research Program of Institute of Information Engineering, CAS",1
Australian Research Council Discovery Early Career Researcher Award,1
National High Technology Research and Development Program of China 863,1
Trafikverket,1
European Union’s Horizon 2020 Research and Innovation program,1
Marie Skłodowska-Curie Innovative Training Networks,1
the Key Science Technology Specific Projects of Heilongjiang Province,1
National Natural Science Foundation of Heilongjiang Province,1
Université de Recherche Paris Sciences et Lettres,1
Jacobs University,1
MAIVISTO - Massive Adaptive Internet Video Streaming Using the Cloud Bando START UP Linea 1 - Big Data (2014-2016),1
973 Project,1
The One Hundred Talents Project of CAS,1
"US Army Corps of Engineers Engineer Research and Development Center, Broad Area Announcement",1
Opening Project of Guangdong Provincial Key Laboratory of Data Security and Privacy Protection,1
Science and Technology Planning Project of Shenzhen Municipality,1
Key Research and Development Plan,1
SVV,1
Grantova Agentura eske Republiky,1
Spanish MCIU Ministry,1
"The Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah",1
TAM project of Turkish Republic Ministry of Development,1
Changzhou Sci&#x0026;Tech Program,1
National Natural Science Foundation of China and Xinjiang,1
Key R&amp;D Project of Sichuan Province,1
Neurofibromatosis Therapeutic Acceleration Program,1
Children&apos;s Tumor Foundation,1
UBIHEALTH - Exchange of Excellence in Ubiquitous Computing Technologies to Address Healthcare Challenges,1
Pervasive Healthcare: Towards Computational Networked Life Science,1
National Council for Scientific and Technological Development ? CNPq,1
European Commission Directorate-General for Research and Innovation,1
Germany's Federal Ministry for Economic Affairs and Energy,1
Région Rhône-Alpes,1
European Union Health Programme,1
DOE,1
National Cryptography Development Fund for Cryptographic Theory of China,1
Graduate Student Overseas Study Program of South China Agricultural University,1
Guangdong Program for Special Support of Top-Notch Young Professionals,1
Pearl River Nova Program of Guangzhou,1
National Crypto-graphy Development Fund,1
TÜBİTAK,1
"KETEP, Korean Government, Ministry of Trade, Industry, and Energy",1
National Research Foundation of Korea (NRF) Grant,1
Universität zu Köln,1
deutsche forschungsgemeinschaft,1
Directorate-General for Research and Innovation,1
ISTIC-CLARIVATE Analytics Joint Laboratory for Scientometrics,1
Imperial College London,1
"National Strategic Research Project, Open Data End-user Programming funded by the Finnish Funding Agency for Technology and Innovation and the VTT Technical Research Centre of Finland",1
Battelle,1
"National Cryptography Development Fund for the 13th Five- Year Plan, China",1
"the Research Fund for International Young Scientists, China",1
"the Provincial Natural Science Foundation Research Project of Shaanxi, China",1
"the Doctoral Scientific Fund Project of Shaanxi University of Science & Technology, China",1
"the Foundation of State Key Laboratory of Information Security, China",1
"the Scientific Research Program Funded by Shaanxi Provincial Education Department, China",1
"the Fundamental Research Funds for the Central Universities, China",1
China 973 program,1
SRF,1
NFSC program,1
NFSZJ,1
Program for Zhejiang Leading Team of Science and Technology Innovation,1
Science and Technology Project of Zhejiang Province,1
Ministry of Research and Technology of Indonesia,1
Science and Technology Key Projects of Changsha City,1
Anhui University,1
ETH Zurich Center for Law and Economics,1
"Human Centred Technology Priority Cluster, at the University of Sydney, Australia",1
Foundation of State Key Laboratory of Cryptology,1
PAPD Fund,1
CICAEET Fund,1
Foundation of Henan Key Laboratory of Network Cryptography Technology,1
Consejo Social of University of Alicante,1
Spanish Ministry of Science Innovation and Universities,1
Generalitat Valenciana and the European Social Fund,1
The OPenIG association,1
The ANR-10-EQPX-20 project of the Investissements dAvenir program,1
The French CNES TOSCA program,1
The CNRS-L,1
Escuela Politécnica Nacional,1
"Universidad Politécnica de Madrid through the V-PRICIT Research Programme, Apoyo a la Realización de PROYECTOS de I+D Para Jóvenes Investigadores UPM-CAM",1
Comunidad de Madrid through the CLIIP Project,1
EPSRC project SOCIAM,1
European Community,1
University of Warmia and Mazury in Olsztyn,1
German Federal Ministry for Economic Affairs and Energy,1
Scientific Research Plan Projects of Jiangxi Education Department,1
Six Talent Peaks Project in Jiangsu Province,1
Open Foundation of Xiamen Key Laboratory of Mobile Multimedia Communications,1
"the Faculty of Geodesy and Land Management, University of Warmia and Mazury in Olsztyn, Poland",1
Academy of Finland (Suomen Akatemia),1
National Human Genome Research Institute (US),1
National Research Center for Applied Cybersecurity ATHENE,1
"Hessen State Ministry for Higher Education, Research",1
Royal Irish Academy,1
Marie Skłodowska-Curie,1
Birmingham City University,1
Science and Technology Project of Fujian Education Department of China,1
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,1
Stiftelsen för Kunskaps- och Kompetensutveckling,1
National Nuclear Security Administration,1
Airbus Urban Mobility GmbH,1
Washington Research Foundation,1
"National Foundation for Research, Technology and Development of the Spanish Ministry of Economy, Industry and Competitiveness",1
Geothink.ca,1
Pan-American Institute of Geography and History,1
H2020 Innovation In SMEs,1
Shenzhen Key Lab Project,1
Shenzhen Municipal Development and Reform Commission,1
EU Framework Programme for Research and Innovation Marie Sklodowska-Curie Actions,1
FP7 Project TELEIOS,1
Swiss National Foundation,1
CANARIE,1
"), Compute Canada",1
Irving Ludmer Family Foundation,1
University of Ottawa Anesthesia Research Grant,1
International Anesthesia Research Society,1
Universiteit Gent,1
"Department of Culture, Media &amp; Sports",1
Cyber Security Academic Startups Accelerator Programme,1
Dexcom,1
Sense Smart City project,1
Göran Gustafssons Stiftelse för Naturvetenskaplig och Medicinsk Forskning,1
Vallee Foundation,1
IGC,1
the MSIT (Ministry of Science and ICT) of the Korean Government,1
KfW,1
Joint Research Centre,1
"CEI Campus for Intelligent Energy, URJC",1
"University Grant Committee of the Hong Kong Special Administrative Region, China",1
General Research Funds,1
Xi&#x0027;an Science and technology innovation plan,1
"International Exchange Program for Graduate Students, Tongji University",1
State Key Laboratory of Industrial Control Technology,1
Strategic Priority Research Program of Chinese Academy of Sciences,1
National Key Technologies Research and Development Program of China,1
Rijkswaterstaat,1
International Neuroinformatics Coordinating Facility,1
Craig H. Neilsen Foundation,1
Wings for Life,1
Regional Universities Forum for Capacity Building in Agriculture (RUFORUM) grant award,1
Insight Centre for Data Analytics,1
The Slovak Research and Development Agency,1
Human Legal and Ethical Aspects of Cybersecurity,1
Projects funded by the Research Council of Norway,1
Yorkshire Cancer Research,1
Ten Thousand Talent Program of Zhejiang Province,1
Spencer Foundation,1
Ministry of Culture and Science of the State of North Rhine-Westphalia,1
Natural Science Research of Jiangsu Higher Education Institutions of China,1
Centro de Estudios Andaluces,1
Jiangsu Planned Projects for Postdoctoral Research Funds,1
Università degli Studi G. D'Annunzio Chieti Pescara,1
NSA GenCyber,1
Google IgniteCS,1
Shanghai Innovation Action Project,1
Shandong Provincial Key Research and Development Program of China,1
Shanghai Science and Technology Development Funds,1
"MIST (Ministry of Science and ICT), South Korea, through the National Program for Excellence in SW",1
ITRC (Information Technology Research Center) Support Program,1
IITP (Institute for Information & communications Technology Promotion),1
Regional Government of Aragon,1
Regional Government of Andalusia,1
VINCENTE,1
ASK-Health,1
NSERC Discovery Grant,1
KOPAR,1
European Community’s H2020 Program,1
"Open Research Project of the State Key Laboratory of Industrial Control Technology, Zhejiang University, China",1
German Federal Ministry of Health,1
Information Network Security of Ministry of Public Security,1
Masaru Ibuka Foundation,1
VELUX FONDEN and VILLUM FONDEN,1
University of Manchester,1
Nanjing Institute of Geography and Limnology,1
NSF for Excellent Young Scholars of China,1
State Key Laboratory of Lake Science and Environment,1
ADEQUATe,1
2018 Tianjin Philosophy and Social Science Planning Funding Project,1
Spanish Ministry of Science,1
Gefördert durch das Land Nordrhein-Westfalen,1
Basel-Stadt Commission for Scholarships for Young Professionals from Developing Countries,1
Swiss Tropical and Public Health Institute,1
Handelsblatt Research Institute,1
University of Virginia,1
Energistyrelsen,1
Consejer&#x00ED;a de Econom&#x00ED;a e Infraestructuras/Junta de Extremadura (Spain) - European Regional Development Fund,1
Ministerio de Econom&#x00ED;a e Innovaci&#x00F3;n,1
POCTEP 4IE,1
Shenzhen Municipality Science and Technology Innovation Commission,1
Innovation and Technology Commission of Hong Kong under ITF Project,1
NationalKeyRDProgramofChina,1
Research Grants Council of Hong Kong under GRF projects CityU,1
Artificial Intelligence Research Promotion Foundation,1
Japan Society for the Promotion of Science Grant-in-Aid for Young Scientists,1
CAPES Brazilian Ministry of Education,1
Venture and Innovation Support Program for Chongqing Overseas Returnees,1
Global Research Laboratory Program,1
Daegu Gyeongbuk Institute of Science and Technology (DGIST) Research and Development Program of the Ministry of Science and ICT,1
the National Nature Science Foundation of China,1
German Society for Online Research,1
Okayama University,1
Medical Research Council (MRC) UK,1
Medical Research Council Supplementary Travel Grant,1
Alzheimer Scotland,1
European Commission (ROUTE-TO-PA Project),1
"Institute for Humanities Research, Arizona State University",1
"Herberger Institute for Design and the Arts, Arizona State University",1
"Erasmus Mundus, Action 2",1
Sirindhorn International Institute of Technology Thammasat University,1
privacy-aware retrieval and modelling of genomic data Academy of Finland,1
Open Research Project of The Hubei Key Laboratory of Intelligent Geo-Information Processing,1
Fund of Hubei Key Laboratory of Transportation Internet of Things,1
Agentschap Innoveren en Ondernemen,1
Lunds Universitet,1
Guidelines for the Application of Big Data in Housing&Urban-Rural Development areas,1
Nova,1
Royal Society Wolfson Research Merit Award,1
National key research and development plan of China,1
National Research Agency,1
SyMeTRIC Connect Talent project,1
Instituo Cajal,1
City University of New York,1
Flood Re,1
"National Institute of Information and Communications Technology (NICT), Japan",1
Central Universities,1
Key Laboratory of Embedded System and Service Computing,1
Key Research and Development Plan of Shaanxi Province,1
Xi&#x2019;an Key Laboratory of Mobile Edge Computing and Security,1
"Nemzeti Kutatási, Fejlesztési és Innovaciós Alap",1
"MINECO, Spain",1
"Spanish Ministry of Economy and Competitiveness (MINECO), Spain",1
"University College, University of Oxford",1
shanghai ninth people's hospital affiliated to jiaotong University school of medicine,1
European Union under the 10th EDF for the BIOPAMA (Biodiversity and Protected Areas Management),1
VolkswagenStiftung,1
The A.P. Møller Foundation,1
The Danish Institute in Damascus,1
"FEDER, and the Erasmus+ Program",1
Food and Agriculture Cyberinformatics and Tools from the USDA National Institute of Food and Agriculture.,1
GeoWOW,1
European Commission ‘‘Seventh Framework Program’,1
ACQWA,1
National Natural Science of China,1
Center for Effective Global Action (CEGA)’s Berkeley Initiative for Transparency in Social Sciences (BITSS),1
CETC Key Laboratory of Aerospace Information Applications Found,1
Young and Middle-Aged Backbone Teacher of Guangxi Colleges and Universities Found,1
Guangxi Collaborative Innovation Center of Cloud Computing and Big Data Found,1
Guangxi Key Laboratory of Cryptography and Information Security Found,1
Innovation Research Team of Guangxi Natural Science Foundation,1
Guangxi Innovation-Driven Development Project,1
Innovation Project of GUET Graduate Education,1
State University of New York,1
University at Albany,1
Aalborg Universitet,1
Scientific Research Plan Project of Education Department,1
Big Lottery Fund,1
"Consejería de Economía e Infraestructuras, Junta de Extremadura",1
Governo Brasil (Brazilian Government),1
Fundação de Amparo à Pesquisa do Estado de São Paulo (São Paulo Research Foundation),1
Regional Government of Castile-Leon,1
Lowitja Institute,1
Public Works Research Institute,1
"Department of Science and Technology, Ministry of Science and Technology",1
National Research University Higher School of Economics,1
Russian Humanitarian Science Foundation,1
"Alberta Centre for Child, Family and Community Research (CA)",1
Alberta Children's Hospital Research Institute (ACHRI),1
Western Sydney Local Health District,1
CIBERONC,1
Fiosraigh Scholarship Program,1
research did not receive any specific grant,1
The Clinical Effectiveness Research Group,1
Frontier Science and Technology Research Foundation,1
The Norwegian Research Council,1
"The National Science Centre, Poland",1
The Foundation for Polish Science,1
UK Research Council,1
UK Digital Economy Programme,1
Scottish Funding Council,1
Horizon 2020 Marie Skłodowska-Curie Actions,1
Finnish Cultural Foundation North Savo Regional Fund,1
ADAPT Centre,1
Qinglan Project of Jiangsu Province of China,1
"Department of Public Health and Nursing, Faculty of Medicine and Health Sciences, Norwegian University of Science and Technology (NTNU), Trondheim, Norway",1
H2020 Excellent Science,1
European Metrology Programme for Innovation and Research,1
European Union H2020 Research and Innovation Program,1
Vlaio,1
Philosophy and Social Sciences Program of Anhui Province,1
National Magnetic Confinement Fusion Science Program of China,1
Great Wall Scholar Program,1
"Nature Science Foundation Innovation Group Project of Hubei Province, China",1
Major State Research Development Program of China,1
Hubei Provincial Natural Science Foundation of China,1
Sichuan Provincial Science and Tech-nology Department Project,1
Scientific Research,1
European Research Council under the Webdam grant,1
NSF CNS-1012748,1
NSF CNS-0964094,1
NSF IIS-0915054 and NSF CCF-1047815,1
Romanian National Authority for Scientific Research and Innovation,1
William Penn Foundation,1
Kadir Has University,1
PAPAYA,1
Marie-Skɫodowska Curie,1
"St. Baldrick&apos;s Foundation (St. Baldrick&apos;s Foundation, Inc)",1
Howard Hughes Medical Institute (HHMI),1
the Science and Technology Program of Sichuan Province in 2019,1
H2020 Societal Challenges,1
"Ecuadorian Ministry of Higher Education, Science, Technology and InnovationEcuadorian Ministry of Higher Education, Science, Technology and Innovation (SENESCYT)",1
Science and Technology Programs of SGCC,1
Riksbankens Jubileumsfond (RJ) – The Swedish Foundation for Humanities and Social Sciences,1
Ontario Ministry of Health and Long-Term Care,1
Netherlands Organization for Scientific Research (NWO),1
Dutch and Flemish Governments,1
STW,1
Health Foundation Limburg,1
Robert Wood Johnson Foundation’s Public Health Services and Systems Research Program,1
The U.S. Department of Energy’s National Nuclear Security Administration,1
Material Measurement Laboratory,1
Ministerio de Ciencia Innovación y Universidades,1
University of Southern Queensland,1
European Union's 7th Framework Programme,1
"Max Planck Institute for Innovation and Competition (IMPRS-CI, IP MPG)",1
FAPERGS,1
CAPES Foundation,1
FAPERGS/CAPES,1
"School of Medicine, Vanderbilt University",1
University of Illinois at Urbana Champaign,1
"ministry of business, innovation and employment",1
Policy Compass European Commission,1
B-LiFE,1
"Ministry of Education, Culture, Sports, Science and Technology of Japan",1
Oregon Health and Science University,1
Arnold Ventures,1
European Communitys Horizon 2020 Program,1
Fundação para a Ciência e a Tecnologia FCT,1
Project Protecting privacy and personal data in a post-Charter Europe – PROTECT,1
Union for International Cancer Control Asia Regional Office,1
Health Education England,1
Private Physiotherapy Education Fund,1
DZHK,1
myPathSem,1
Neuroeconomic research group at Linköping University,1
Linnaeus Center CADICS,1
Digital Health Revolution – consortium,1
"Ministry of Science and ICT, Korea Government",1
COMET - Competence Centers for Excellent Technol,1
U.S. Department of Health and Human Services,1
Civic Council of Greater Kansas City,1
BioNexus KC,1
MOE Tier 2,1
EMA Energy Resilience,1
Singapore MOE Tier 1,1
University of Bath,1
Medecine for Malaria Venture,1
Institut Teknologi Sepuluh Nopember,1
Engineering and Physical Sciences,1
Scientific and Technological Research Council of Turkey,1
University of Edinburgh,1
Institut de Veille Sanitaire,1
Duchenne Parent Project,1
multiple sclerosis international federation,1
European Charcot Foundation,1
Multiple Sclerosis Data Alliance,1
NLBIF,1
Imaging omics research on mechanism of differential acupuncture efficacy in chronic migraine of suitable population based on brain-bowel axis,1
Research on central regulation mechanism of acupuncture treatment of chronic pain,1
Piedmont Region,1
"Singapore A*STAR Agency for Science, Technology and Research Public Sector Research Funding Programme",1
Oklahoma Center for the Advancement of Science and Technology,1
Nova Scotia Health Research Foundation,1
NFU Citriendfonds,1
USA National Science Foundation CISE grants,1
Commonwealth Department of Industry’s Australian Space Research Program,1
LinkedUp,1
Open Discovery Space,1
Russian Federation President,1
Romanian Ministry of Research and Innovation; CNCS-UEFISCDI,1
U.S. Army Corps of Engineers and U.S. Geological Survey,1
Swedish Foundation for International Cooperation in Research and Higher Education,1
National Society of Genetic Counselors,1
Ethics Center at Cincinnati Children's Hospital Medical Center,1
Australian Research Council (ARC),1
Vietnam National University Ho Chi Minh City,1
National High-Tech R&D (863) Program,1
Wheat Initiative,1
Gieskes-Strijbis Fonds,1
Alzheimer Nederland,1
European Union’s Horizon2020 Research and Innovation Programme under the MSC,1
Marie Skłodowska-Curie (MSC) Career-FIT Postdoc Fellowship,1
Mitacs Research Training,1
Ministerio de Ciencia e Innovacin,1
Ministry of Economy Knowledge and Employment of Canary Islands,1
BMBF Federal Ministry of Education and Research,1
National Natural Science Foundations of China,1
national nature science foundation of China,1
"Fundamental Research Funds for Science and Technology Program of Guangdong, China",1
"National Institute of Technology Kurukshetra, India",1
University of Winchester,1
Taiwan E-Governance Research Center,1
National Development Council of Taiwan,1
Nagasaki University,1
H2020 Research Infrastructures,1
The Social Sciences and Humanities Research Council of Canada,1
British Academy/Leverhulme Trust Small Grant Scheme,1
"Ministry of Business, Innovation and Employment (Science and Innovation Group, New Zealand)",1
Province of Gelderland,1
Murata Science Foundation,1
Japan Advanced Institute of Science and Technology,1
"U.S. Department of Energy, Office of Science, Biological and Environmental Research",1
Fondation de soutien à la recherche dans le domaine de l’othorpédie-traumatologie,1
Università di Roma “Foro Italico”,1
Tianjin Science and Technology Project,1
Principal Research Fellowship,1
"Ministerio de Economía y Competitividad, Gobierno de España",1
Junta de Andalucía,1
Wuhan Young and Middle-aged Medical Talents Training Program to FH,1
Development of Shanghai Industrial Internet,1
NBIF Start-Up Grant,1
"Economic Development Board, Singapore",1
Natural Sciences and Engineering Research,1
Zhejiang Education Department Project,1
Zhejiang Science Technology Department Project,1
URF Grant,1
Republic of Turkey Ministry of National Education,1
Research Center of Centre Intégré Universitaire de Sante et de Services Sociaux du Nord-de-l’Île-de-Montréal,1
International Atomic Energy Agency,1
Krishi Gobeshona Foundation,1
"Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)",1
"Ministério da Ciência, Tecnologia, Inovações e Comunicações",1
Fundação de Amparo à Pesquisa do Estado da Bahia,1
Basque Government,1
"Ministry of Science, Innovation and Universities of the Government of Spain",1
RCUK Digital Economy programme,1
The Leona M. and Harry B. Helmsley Charitable Trust,1
Cancer Registry of Norway Research Fund,1
Kreftforeningen,1
"Research Grants Council, Hong Kong",1
Université du Québec à Montréal,1
EU-Horizon 2020 project BACI,1
Canadian Forest Service,1
This research was supported by Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education (2012R1A1A2007014).,1
Medical Psychiatry Alliance,1
"Humanities and Social Science Project of the Education Commission of Hebei Province, China",1
"Humanities and Social Science Project of the Education Commission of Henan Province, China",1
Austrian Science Fund (FWF),1
Vienna Science and Technology Fund (WWTF),1
Optimum Patient Care,1
The National Library Of Medicine of the National Institutes of Health,1
EEPIA companies’,1
FWF doctoral program,1
Innovative Medicines Initiative Joint Undertaking,1
European Union’s Seventh Framework Program,1
King Abdullah International Medical Research Center,1
Agricultural Research Service,1
Science Foundation of Sichuan Educational Committee,1
University of Granada funded by the Beatriz Galindo (senior modality) program of the Spanish Ministry of Education,1
Lecturership from the UK National Health Institute of Research,1
City of Chicago,1
Bloomberg Philanthropies,1
"Huawei Technologies, Canada",1
Scientific Research Project of the Guangzhou College of Technology and Business,1
Fapemig,1
Capes,1
The Natural Sciences and Engineering Research Council of Canada,1
Arcadia Fund,1
Research Excellence And Technological Enterprise (CREATE),1
Competitive Research Programme (CRP),1
"Prime Ministers Office, Singapore",1
Alexandria Archive Institute,1
Mozan/Urkesh Archaeological Project,1
IIMAS,1
John D. and Catherine T. MacArthur Foundation,1
University of Wollongong,1
NSFC of China,1
"RGC of the HKSAR, China",1
Czech Science Foundation (GAČR),1
Library of Congress National Digital Information Infrastructure and Preservation Partnership,1
"United States Department of Health and Human Services, National Institutes of Health, National Library of Medicine",1
"theGeneralSecretariatofScience,TechnologyandInnovation 829 belonging totheRegionalMinistryofEconomyandInfrastructures",1
SASTRA Deemed University,1
Vali + d (GVA),1
Elaine and Allen Avner Professorship in Interdisciplinary Research,1
RAAK Publiek,1
Rotterdam Media Commission,1
Innovative Medicines Initiative 2,1
German Science Foundation DFG,1
DENVI doctoral program,1
Helsinki Metropolitan Region Urban Research Program,1
Astra6-1 project,1
"National University Ireland, Galway",1
Research on the Organization and Mode of Modern Society Governance,1
Network Society Governance of China,1
Stiftung Charité,1
Einstein Stiftung Berlin,1
Office of Research and Development,1
Public Health Ontario,1
AFOSR DDDAS,1
Air Force STTR Phase-I,1
Emil Aaltosen Säätiö,1
Lawrence Berkeley National Laboratory Contractor Supported Research,1
"Ministry of Education, Youth and Sports",1
AZV MHCR,1
MEYS,1
Utrecht University,1
Government of Spain,1
"MCubed program, University of Michigan",1
National Science Foundation NSF,1
Tauno Tönning Research Foundation,1
and Jenny and Antti Wihuri Foundation,1
Riitta and Jorma J. Takanen Foundation,1
Sichuan Provincial Science and Technology Department Project,1
University of Florence,1
companies through the Sii-Mobility National Project on Smart City Mobility and Transport,1
Ministry of Culture and Science of the German State of North Rhine-Westphali,1
"Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore",1
"National Institute for Health Research (NIHR) Collaboration for Leadership in Applied Health Research and Care, Oxford",1
IDS,1
Aragon Regional Government,1
ministerio de economía y competitividad,1
"MSIP (Ministry of Science, ICT & Future Planning), Korea",1
"Indus- trial Core Technology Development Program (MOTIE, Korea)",1
FundaciÃ³n CajaCanarias,1
"Spanish Ministry of Education, Culture and Sport",1
CCF-Venustech Hongyan Research Initiative,1
the Open Foundation of Guizhou Provincial Key Laboratory of Public Big Data,1
Ministry of Industry and Information Key Project Fund,1
Guangzhou Zhujiang Science and Technology Future Fellow Fund,1
"Institute of Physics, Nicolaus Copernicus University",1
This research has been partly supported by the Cultural Bureau of the Royal Embassy of Saudi Arabia in London and by EPrints Services.,1
Science and Technology Project of State Power Grid Corp,1
"Department of Further Education, Employment, Science and Technology, Government of South Australia",1
"Ministry of Education, Youth and Sports of the Czech Republic",1
Changzhou,1
"U.S. National Science Foundation, Water Sustainability and Climate Program",1
"Sydney Medical School, The University of Sydney",1
Australian Government Department of Education,1
"James P. Grant School of Public Health, BRAC University",1
Investissement dAvenir,1
Heart and Stroke Foundation Seed Catalyst Grant for Women Health,1
University of Ottawa Department of Medicine,1
Cohort Study of the Esophageal Cancer and Liver Cancer,1
Innovation Fund for Medical Sciences of Chinese Academy of Medical Sciences,1
University of Illinois at Urbana-Champaign,1
Seoul Campus Town Technology R&D Project,1
Bundesministeriums der Justiz und für Verbraucherschutz,1
Instrumentariumin Tiedes????ti??,1
Osk. Huttusen s????ti??,1
ICT R&D program,1
NRF,1
American Association of Geographers,1
"University of Wisconsin-Madison Center for Culture, History, and Environment",1
University of Wisconsin-Madison Holtz Center for Science and Technology Studies,1
LIFE project Future For CoppiceS,1
EU Programme,1
"State Secretariat for Education, Research and Innovation",1
Connected Health Cities North East and North Cumbria,1
Danish Council for Strategic Research,1
"Dr D. S. Kothari Post-Doctoral fellowship, UGC, New Delhi",1
European and Developing Countries Clinical Trials Partnership the EU Horizon 2020 Framework Programme,1
Wellcome,1
VU University Amsterdam,1
Australian Society for Bipolar and Depressive Disorders,1
Australian Rotary Health,1
Australian Postgraduate Research Training Scholarship,1
Kuopio University Hospital,1
TU Wien,1
Strabag AG,1
Royal College Of Anaesthetists,1
Duke School of Nursing Center for Nursing Research,1
Duke Graduate Student Fellowship,1
Scheme for Promotion of Academic and Research Collaboration,1
"Ministry of Human Resource Development, India",1
"National Research Tomsk Polytechnic University, Russia",1
"International Cooperation Project of Sri Lanka Technological Campus, Sri Lanka and Tomsk Polytechnic University",1
"the CNES/TOSCA program, the CNRS-L and OPenIG",1
GEOSUD,1
Anhui Provincial Key Laboratory of Network and Information Security,1
Canadian Blood Services,1
Hamilton Health Sciences,1
Fondation des Anesthesiologistes du Quebec,1
Colorado State University,1
Vingroup Innovation Foundation,1
China Medical Board,1
TUOHAI special project 2020 from Bohai Rim Energy Research Institute of Northeast Petroleum University,1
U.S. Army Research Laboratory,1
National Taiwan University Hospital,1
BAE Systems,1
Knowledge & Innovation Community (KIC) on Food of the European Institute of Innovation and Technology,1
Maa-ja Vesitekniikan tuki ry,1
European Unions Horizon 2020,1
Movember Foundation,1
International Business Machines Corporation,1
Michigan Institute for Data Science,1
Exercise & Sports Science Australia,1
Youth Foundation of the Humanities and Social Sciences Research of the Ministry of Education of China,1
Humanities and Social Science Research Foundation of the Ministry of Education of China,1
Mendelova Univerzita v Brně,1
POSEIDON - Protection and control of Secured Information by means of a privacy enhanced Dashboard”,1
U.S. Air Force,1
David and Lucile Packard Foundation,1
European Union’s H2020 Research and Innovation Programme,1
research,1
Newcastle University Academic-Track Fellowship,1
EUCAN-Connect,1
Maa- ja vesitekniikan tuki ry.,1
Alzheimer's Society,1
Associação Brasileira de Linfoma e Leucemia,1
Harvard Medical School - Center for Regulatory Science,1
Dongguk University,1
Guangdong IIOT Control Technology Engineering Laboratory,1
Guangdong IIOT (M-S) Engineering Technology Center,1
Shenzhen IIOT Engineering Laboratory,1
Leiden University,1
Airport Cooperative Research Program,1
the Key R &amp; D plan of the Ministry of science and technology of the people's Republic of China,1
"Natural Sciences and Engineering Research Council of Canada, Canada",1
"Cundill Centre for Child and Youth Depression, Centre for Addiction and Mental Health, Toronto, Ontario, Canada",1
Duke University Center for Nursing Research,1
DFID,1
Compagnia di San Paolo,1
Key Technology Research and Development Program of Zhejiang Province,1
Asthma UK,1
Data61 Collaborative Research Project “Enhancing Security and Privacy of IoT.”,1
Project “Privacy-Preserving Cloud Data Mining-asa-Service”,1
Privacy-Preserving Online User Matching,1
Fundamental Research Fund for The Central Universities,1
National Natural Science Funds of China,1
Alan Turing Institute,1
Univerzita Karlova v Praze,1
National Library of Medicine of the National Institutes of Health,1
Korean Society of Nursing Science,1
"Distinguished Young Scholars Fund of Department of Education, Guangdong Province",1
"edmond j. safra center for ethics, harvard university",1
national science foundation,1
Distinguished Young Scholars Fund of Department of Education,1
Wellcome Trust ISSF,1
Kildare Trust,1
Building Technologies Office,1
CCF and Venustech Research Program,1
Stanford Engineering,1
Stanford Precourt Institute for Energy,1
PhD,1
Chinese Educational Ministry,1
Shaanxi Province for excellent researchers,1
Shandong provincial Key Research and Development Program of China,1
McDonald Institute for Archaeological Research,1
Cosmote,1
Cyprus Institute,1
Packard Humanities Institute,1
British School at Athens,1
Blue Star Ferries,1
Society of Antiquaries of London,1
British Academy,1
AIGEAS-AMKE,1
EZ-dot,1
Research and Innovation Foundation,1
Center for Bioethics and Social Sciences in Medicine,1
Institute for Translational Medicine NIH CTSA,1
Chinese Academy of Sciences Action Plan for West Development Program,1
CAPES and Science Without Borders,1
Research Training Program,1
City of Denton,1
Key Laboratory Program of Information Network Security of Ministry of Public Security,1
Key Project of Chinese National Programs for Fundamental Research and Development,1
China Postdoctoral Science Foundation funded project,1
US-UK Fulbright Commission,1
Wenner-Gren Foundation,1
Social Science Research Council,1
Beijing Chaoyang Science & Technology Commission,1
Stu Card Fellowship,1
Vienna Science and Technology Fund,1
ETH Foundation through the Risk Center,1
"Baden-Wuerttemberg Ministry of Economic Affairs, Labor and Housing",1
Google Inc,1
Office of the Privacy Commissioner Te Mana Matapono Matatapu,1
Ottawa University Research Chair,1
State's Key Project of Research and Development Plan,1
China High-Resolution Earth Observation System,1
JSPS Grant-in-Aid for Challenging Exploratory,1
"Yokohama, Sagamihara, Mito and Muroran",1
Canada Research Chairs program,1
Canadian Institutes of Health Research and Muscular Dystrophy Canada,1
Seqirus,1
GlaxoSmithKline and Engineering and Physical Sciences Research Council,1
Embiricos Trust Scholarship of Jesus College Cambridge and the Engineering and Physical Sciences Research Council,1
The Alan Turing Institute,1
Universitas Indonesia,1
Stiftelsen Olle Engkvist Byggmästare,1
"Funding above to E.I. S. In addition, B.W. received funding from a Faculty Mobility grant from the University of Costa Rica and a grant from the Schlumberger Foundation.",1
FACEPE,1
Simons Collaboration on Computational Biogeochemical Modeling of Marine Ecosystems,1
Director Office of Basic Energy Sciences Office of Science U.S. Department of Energy,1
"MSIP(Ministry of Science, ICT and Future Planning), Korea",1
China 111 Program,1
Major Basic Research Program of Shaanxi Province Natural Science Foundation Research Project,1
