funder,works count
Natural Science Foundation of Guangxi Province,4
Office of Energy Efficiency and Renewable Energy,4
Innovative Medicines Initiative,4
Priority Academic Program Development of Jiangsu Higher Education Institutions,4
Australian Research Council Discovery Project,4
Institute for Information and Communications Technology Promotion,4
IBM CAS Faculty Fellowship,4
Norwegian Research Council,4
Ministry of Science and Technology Taiwan,4
"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",4
"Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada",4
University of Melbourne,4
European Union's Horizon 2020,4
Spanish Ministry of Science and Innovation,4
CSRD VA,4
King Abdulaziz University,4
Indian Institute of Technology Bombay,4
California Institute of Technology,4
ERC,4
Javna Agencija za Raziskovalno Dejavnost RS,4
HSRD VA,4
University of Amsterdam,4
PAPD fund,4
Parkinson's UK,4
NCHHSTP CDC HHS,4
AstraZeneca,4
Department for International Development,4
European Union's Horizon 2020 research and innovation programme,4
NASA,4
Research Foundation Flanders,4
Deutscher Akademischer Austauschdienst,4
European Union Seventh Framework Programme,4
German Research Foundation (DFG),4
Science Foundation of Fujian Provincial Science and Technology Agency,4
Ministry of Science and Technology of Taiwan,4
Health Research Council of New Zealand,4
Arthritis Research UK,4
13th Five-Year Plan of National Cryptography Development Fund for Cryptographic Theory of China,4
"Secretaría de Estado de Investigación, Desarrollo e Innovación",4
Enterprise Ireland,4
"CSIRO Data61, Australia",4
Air Force Office of Scientific Research,4
"Ministry of Education, Culture, Sports, Science and Technology",4
"National Heart, Lung, and Blood Institute",4
Academia Sinica,4
Scottish Government,4
Helmholtz Association,4
China National Funds for Distinguished Young Scientists,4
Central South University,3
Ministry of Education of the People's Republic of China,3
H2020 Security,3
Intramural NIST DOC,3
Natural Science Basic Research Plan in Shaanxi Province,3
Seventh Framework Programme (BE),3
Austrian Research Promotion Agency,3
"Ministry of Business, Innovation and Employment",3
Program for Guangdong Introducing Innovative and Entrepreneurial Teams,3
Queensland University of Technology,3
Key Research Project of Zhejiang Province,3
National Institute of General Medical Sciences (NIGMS),3
Chongqing Research Program of Basic Research and Frontier Technology,3
AXA Research Fund,3
University of Helsinki,3
111 Project,3
National Security Agency,3
Österreichische Forschungsförderungsgesellschaft,3
Science Foundation Ireland (SFI),3
Chongqing Municipal Education Commission,3
Royal Society,3
auDA Foundation,3
Universidade de Macau,3
MIUR,3
Office of Science,3
State Key Laboratory of Information Security,3
111 project,3
None,3
"Ministry of Higher Education, Malaysia",3
"Research Grants Council of the Hong Kong Special Administrative Region, China",3
Fonds National de la Recherche Luxembourg,3
Indiana Clinical and Translational Sciences Institute,3
Natural Science Foundation of Inner Mongolia,3
National Cryptography Development Fund of China,3
Science and Technology Project of Lanzhou City,3
Gordon and Betty Moore Foundation,3
U.S. Geological Survey,3
IBM Faculty Award,3
Beijing Municipal Science and Technology Commission,3
Yahoo,3
Institute for Information and communications Technology Promotion,3
University of Manitoba,3
the National Key R&D Program of China,3
Department of Health ,3
U.S. Department of Homeland Security,3
NIH,3
Generalitat de Catalunya,3
Shaanxi Innovation Team Project,3
National Institutes of Health (US),3
Waseda University,3
National Key R and D Program of China,3
Japan Society for the Promotion of Science (JSPS),3
Xidian University,3
NordForsk,3
Foundation for Science and Technology,3
Wellcome Trust (Wellcome),3
CHIST-ERA,3
H2020 Marie Sklodowska-Curie Actions,3
BMBF,3
CICAEET fund,3
Beijing Institute of Technology,3
Division of Computing and Communication Foundations,3
Tianjin Science and Technology Foundation,3
Army Research Laboratory,3
New Energy and Industrial Technology Development Organization,3
Shanghai Sailing Program,3
"Ministry of Trade, Industry and Energy",3
Ghent University,3
Ministry of Health,3
Natural Science Foundation of Anhui Province,3
John Templeton Foundation,3
DARPA,3
Aalto University,3
Versus Arthritis,3
German Federal Ministry of Education and Research (BMBF),3
Korea Institute of Science and Technology Information,3
Israel Science Foundation,3
PEPFAR,3
SFI Research Centres Programme,3
CERNET Innovation Project,3
Canada First Research Excellence Fund,3
Beijing Municipal Commission of Education,3
NWO,3
European Commission (BE),3
European Union’s Horizon 2020 research and innovation programme,3
"Ministero dell’Istruzione, dell’Università e della Ricerca",3
Instituto de Salud Carlos III,3
Bundesministerium für Wirtschaft und Energie,3
Erasmus,3
Innovative Research Group Project of the National Natural Science Foundation of China,3
Korea government,3
"Ministero dell'Istruzione, dell'Università e della Ricerca",3
Ministerio de Ciencia y Tecnología,3
"Ministerio de Economía, Industria y Competitividad, Gobierno de España",3
ICT Policy Support Programme,3
EU H2020,3
General Secretariat for Research and Technology,3
Core Research for Evolutional Science and Technology,3
Stockholm University,3
EU,3
Higher Education Discipline Innovation Project,3
Business Finland,3
National Key Research and Development Plan of China,3
"Spanish Ministry of Science, Innovation and Universities",3
Khalifa University of Science and Technology,3
Division of Computer and Network Systems,3
National Institutes of Health (NIH),3
Federal Ministry of Education and Research,3
"Agency for Science, Technology and Research",3
Defense Threat Reduction Agency,3
Österreichischen Akademie der Wissenschaften,3
U.S. Environmental Protection Agency,3
Taif University,3
World Bank Group,3
National Institute of Neurological Disorders and Stroke,3
National High Technology Research and Development Program of China,3
