Funder,Include
,
),
)  Compute Canada,
01ZZ1603[A-D] (German Federal Ministry of Education and Research (BMBF)) International,
111 project,
111 Project,
111 Project of China,
111 Project of the Ministry of Education of China,
115308) International,
1311 Talent Plan Foundation of NUPT  NUPTSF,
13th Five-year Informatization Plan of the Chinese Academy of Sciences,
13th Five-Year Plan of National Cryptography Development Fund for Cryptographic Theory of China,
19 FEDER funds—a way to build Europe,
2015 Project of six personnel in Jiangsu Province,
2017 Open Foundation,
2018 Tianjin Philosophy and Social Science Planning Funding Project,
2018HH0102,
2019 Liaoning Provincial Social Science Planning Fund Project  Research on the Coordinated Development of Scientific and Technological Innovation Talents and Regional Economy Under the Reform of the Labor Supply Side,
2019 Presidential Research Fellowship Mentor-Mentee Program,
2020 Academic Innovation Ability Enhancement Plan for outstanding doctoral Students of East China Normal University,
2020 Guangdong Provincial Philosophy and Social Sciences Development Program (No. GD20CXW03),
2020 Major (Key) Issues of Dalian Federation of Social Sciences  Research on the Cultivation and Incentive Mechanism of Technological Innovation Talents in Dalian,
2020 Okawa Foundation Research  2021 Hellman Fellows Fund,
2020 Zhengzhou City Soft Science Research Plan Project,
2021 China Youth Research Association,
2021 Henan Province Key R&D and Promotion Special Project,
2B Technologies,
5G-FORCE project,
6th Innovation and Entrepreneurship Leading Talents Project of Dongguan,
7th Framework Program: MeDALL,
863 High Technology Plan,
863 Program of China,
863 project,
973 Program,
973 Project,
?la Caixa? Foundation,
A Better Start - National Science Challenge,
a FWO PhD fellowship grant,
a grant from Research Grants Council of Hong Kong Special Administrative Region  China,
A*Star,
A.G. Leventis Foundation,
Aalborg University,
Aalto University,
Aarhus Universitet,
AAT- 8GRA02 from Action for A-T  United Kingdom,
ABB,
Abbe Goldstein/Joshua Lurie and Laurie Marsh/Dan Levitz families,
Abbott Laboratories,
Abbvie Corp,
Abo Akademi University,
Above and Beyond,
Abundance Foundation Fellowship in Global Mental Health Implementation Science,
Academia Sinica,
Academic Excellence Project 5-100,
Academic Human Resources Development in Institutions of Higher Learning Under the Jurisdiction of Beijing Municipality,
Academic Pediatric Association (Young Investigator Award),
Academy Health,
Academy of Finland,
Academy of Finland  Finland,
Academy of Finland (Suomen Akatemia) (283411),
Academy of Finland (Suomen Akatemia) (319857),
Academy of Finland 6Genesis Flagship,
Academy of Finland Research,
AcademyHealth,
ACCME,
ACEMS,
ACL HHS (90REGE0008) United States,
ACQWA,
ACROSS Initiatives of the Helmholtz Association  which are joint collaborative programs involving several Helmholtz Research Centers in Germany,
Action on Hearing Loss (S44) United Kingdom,
Active and Assisted Living programme,
ADAPT Centre,
Adelaide Scholarship International,
ADnD project,
Advanced Cyberinfrastructure,
Advanced Research Projects Agency - Energy,
Advanced Scientific Computing Research and Fusion Energy Sciences Partnership for Edge Physics Simulations,
Aeronautical Science Foundation of China,
Aetna Foundation,
AFM-Téléthon,
AFOSR,
AFOSR DDDAS,
African Research Group for Oncology,
AgBioResearch  Michigan State University,
Agence Nationale de la Recherche,
Agence nationale de la recherche,
Agence Nationale de la Recherche (ANR) (ANR-17-EURE-0017) International,
Agence Nationale de la Recherche (ANR-11-INBS-0010 grant (MetaboHUB)),
