funder,works count
New Star Team of Xi’an University of Posts and Telecommunications,1
Iowa Department of Transportation,1
Humanities and Social Sciences,1
Jiangsu province key research and development program: Social development project,1
Project of ZTE Cooperation Research,1
Jiangsu province key research and development program: Industry outlook and common key technology projects,1
University of Lancaster,1
"1311 Talent Plan Foundation of NUPT, NUPTSF",1
Qing Lan Project of Jiangsu Province,1
Open Foundation of the State Key Laboratory of Information Security of China,1
Suomen Akatemia,1
Electronics and Telecommunications Research Institute (ETRI) Grant through Korean Government,1
Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant through Korean Government [Ministry of Science and ICT (MSIT)],1
SSHRC,1
Seattle Children’s Enterprise Analytics,1
Andrew Carnegie Fellowship,1
"The Europe Center of Stanford University, United States",1
Austrian Research Promotion Agency (FFG),1
"Austrian Federal Ministry of Transport, Innovation and Technology (BMVIT)",1
Agencia Nacional de Investigación e Innovación,1
HIT University Educational Research Project,1
AHRC,1
Key Natural Science Foundation of Education Bureau of Anhui Province,1
The Insight Centre for Data Analytics,1
European Commission Erasmus+ programme,1
The IITP (Institute of Information and Communications Technology Planning and Evaluation),1
Amazon AWS in Education Research Grant,1
"Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Nanjing University of Posts and Telecommunications",1
DH ,1
National Institute for Health Research (NIHR),1
KTH SmarTS Lab,1
Arts and Humanities Research Council,1
Guangdong University of Petrochemical Technology’s Internal Project,1
Aspen Center for Physics,1
Xuzhou Medical Young Talents Projects,1
Jiangsu Provincial Medical Youth Talent,1
"Canada Excellence Research Chairs, Government of Canada",1
KU Leuven,1
ESRC,1
Shandong Provincial Natural Science Foundation for Young Scholars of China,1
Division of Advanced Cyberinfrastructure,1
Fundação para a Ciência e a Tecnologia,1
National Institute for Health Research (NIHR; https://www.nihr.ac.uk/) Doctoral Research Fellowship,1
China Social Science Fund,1
Universität Zürich,1
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,1
Politecnico di Milano,1
French Ministry for Europe and Foreign Affairs,1
"Fundamental Research Funds for the Central Universities, CHD",1
H2020 LEIT Information and Communication Technologies,1
iMinds,1
"Centre for Teaching and Learning, Universiti Teknologi Malaysia",1
University of Rijeka,1
Interreg NWE,1
National Key Research Program of China,1
Innovation special zone,1
Royal Brisbane and Women’s Hospital Foundation,1
Queensland University of Technology,1
This article is published under the Creative Commons Attribution Non-commercial License.,1
EU TagItSmart! Project,1
EU-India REACH,1
Fondo Nacional de Desarrollo Científico y Tecnológico,1
Northeastern University,1
Key Project in the National Science and Technology Pillar Program of China,1
Industrial Internet Innovation and Development Project,1
Guangzhou Key Industrial Technology Project,1
Key R&amp;D Program in Key Areas of Guangdong Province,1
"Ministry of Economic Affairs, Dutch Government",1
Food and Agriculture Organization of the United Nations,1
U.S. Department of Agriculture,1
H2020 Marie Sk?odowska-Curie Actions,1
Scientific Research Fund of Hunan Provincial Education Department,1
Guangdong Province Natural Science Foundation of major basic research and Cultivation project,1
Project of Ordinary University Innovation Team Construction of Guangdong Province,1
Collaborative Innovation Major Projects of Bureau of Education of Guangzhou City,1
Basic Research Major Projects of Department of education of Guangdong Province,1
Foundation of National Natural Science of China,1
Natural Science Foundation of Guangxi Zhuang Autonomous Region,1
Health Services Research Competitive Research Grant,1
International Association of Mathematical Geosciences,1
Beijing Municipal Science and Technology Project,1
Laura and John Arnold Foundation,1
Exxon Valdez Oil Spill Trustee Council,1
Ministry of Education of China,1
Fujian Normal University Innovative Research Team,1
Fok Ying Tung Education Foundation,1
"Department of Education, Fujian Province",1
Directorate for Computer and Information Science and Engineering,1
the Department of Education of Zhejiang Province of China,1
the Opening Project of Guangdong Provincial Key Laboratory of Information Security Technology,1
the Key Research Project of Zhejiang Province,1
National Institute of General Medical Sciences (NIGMS),1
National Human Genome Research Institute (NHGRI),1
Ministry of Science and Technology of the People’s Republic of China,1
Japan Society for the Promotion of Science KAKENHI Grant,1
key Research and Development plan of Shaanxi province,1
key science and technology projects of State Grid Corporation of China,1
Key project of Anhui provincial department of education,1
AXA Research Fund and the Singapore National Research Foundation Cybersecurity RD,1
